Horas;Segunda-feira;Terça-feira;Quarta-feira;Quinta-feira;Sexta-feira;
08:00;;;"SegInf
G.2.07";;"PDM
G.2.07
 G.0.15";Turmas:
08:30;;;;;;PDM- 51D
09:00;;;;;;DAW- 51D
09:30;"DAW
G.2.07
G. LS1. G.0.13";;;;;SegInf- 51D
10:00;;;;;;PSC- 33D
10:30;;;;;;TDS - 31D
11:00;;;;"DAW
G.2.07";"SegInf
G.2.07
G. LS1. G.0.13";PE- 32D
11:30;;;;;;
12:00;;;;;;
12:30;"PDM
G.2.07
G. LS1. G.0.13";;;;;
13:00;;;;;;
13:30;;;;;;
14:00;"PE
C.1.01";"PE
C.1.01";;TDS G.2.07;"PSC
C.1.02";
14:30;;;;;;
15:00;;;;;;
15:30;;PSC/PE;;;;
16:00;;;;;;
16:30;;;;;;
17:00;"
TDS G.2.07";"PSC
C.1.02
LS3. G.0.15";;;;
17:30;;;;;;
18:00;;;;;;
18:30;;;;;;
;;;;;;
